Code,Name,Status,PSABDescription,ParentCategoryName,ParentCategoryDescription,ChartType,FundType,ParentFundCode,ParentType,IsGrant,GrantName,SummaryLine,IsBudgetable,ActualsPostable,IsReimbursable,RequiresApprovals,SupportsAssessedValuations,RevObjectCurrYear,RevObjectPriorYear,RequiresProjectNumber,UsesDependentCharterXfer,PEDZeroOut,NotInUse
10000,General Funds,Active,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,General Fund,,Yes,No,,No,No,No,No,No,No,,,No,No,No,No
11000,Operational,Active,,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,General Fund,10000,No,No,,Yes,Yes,Yes,No,No,Yes,,,No,Yes,No,No
12000,Teacherage,Active,,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,General Fund,10000,No,No,,Yes,Yes,Yes,No,No,No,,,No,No,No,No
13000,Pupil Transportation,Active,,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,Flowthrough,10000,No,No,,Yes,Yes,Yes,No,Yes,No,,,No,Yes,Yes,No
14000,Instructional Materials Sub-Fund,Active,,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,Flowthrough,10000,No,No,,Yes,Yes,Yes,No,Yes,No,,,No,No,No,No
15100,Impact Aid Operational,Active,,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,General Fund,10000,No,No,,Yes,Yes,Yes,No,No,Yes,,,No,Yes,No,No
15200,Local Revenue Operational,Active,,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:",Uniform FY27,General Fund,10000,No,No,,Yes,Yes,Yes,No,No,Yes,,,No,Yes,No,No
20000,Special Revenue Funds,Active,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,General Fund,,Yes,No,,No,No,No,No,No,No,,,No,No,No,No
21000,Food Services,Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,20000,No,No,,Yes,Yes,Yes,No,Yes,No,,,No,No,No,No
21100,Universal Free Lunch (State funded),Active,,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.,Uniform FY27,Flowthrough,20000,No,No,,Yes,Yes,Yes,No,Yes,No,,,No,No,No,No
