Code,Name,Status,PSABDescription,ChartType,ParentJobClassCode,ParentType,IsLicensed,JobClassCategory,StaffTitlesReportTitle,SummaryLine,IsBudgetable,ActualsPostable,SupportsFTE
0000,No Job Class,Active,To be used in Object Codes from 11000 through 50999 and from 53000 to 59999. The following codes are to be used exclusively with Object accounts from 51000 through 52999:,Uniform FY27,,No,No,No Job Class,,No,Yes,Yes,No
1111,Superintendent,Active,Chief executive officer of the school district.,Uniform FY27,,No,Yes,Administrators,Administrative Associates(1113),No,Yes,Yes,Yes
1112,Principals,Active,Principal(s) and assistant principal(s). This includes the applicable portion of salaries paid to other instructional personnel with part-time principal duties.,Uniform FY27,,No,Yes,Administrators,Principals(1112),No,Yes,Yes,Yes
1113,Administrative Associates,Active,Administrative personnel reporting directly to the superintendent.,Uniform FY27,,No,Yes,Administrators,Administrative Assistants(1114),No,Yes,Yes,Yes
1114,Administrative Assistants,Active,Administrative personnel reporting directly to administrative associates.,Uniform FY27,,No,Yes,Administrators,Assoc. Superintendents Finance/Business Managers(1115),No,Yes,Yes,Yes
1115,Assoc. Supt.-Fin./Bus. Mgr.,Active,"Supt.-Fin./Bus. Mgr.). Administrative personnel whose duties may include directing, managing, and supervising fiscal services, budgeting, payroll, financial accounting, internal auditing, and purchasing for the school district.",Uniform FY27,,No,Yes,Administrators,Health Assistants(1216),No,Yes,Yes,Yes
1211,Coordinator/Subject Matter Specialist,Active,Coordinators and employees specializing in direct support of instruction. The Coordinators and Subject Matter Specialists not assigned permanent or part-time classroom teaching schedules are to be included in this expenditure code.,Uniform FY27,,No,Yes,Other T & E,Coordinator/ Subject Matter Specialists(1211),No,Yes,Yes,Yes
1212,Library/Media Specialists,Active,"Certified employees with the responsibility for organizing and managing libraries of books and other instructional resource materials, including audio-visual materials and equipment.",Uniform FY27,,No,Yes,Teachers,Library/Media Specialists(1212),No,Yes,Yes,Yes
1213,Library/Media Assistants,Active,Full-time or part-time employees assisting in library or media services.,Uniform FY27,,No,Yes,Instructional & Other Assistants,"Instructional/Library/ Media Assistants(1711, 1712, 1713, 1714 & 1213)",No,Yes,Yes,Yes
1214,Guidance Counselors/Social Workers,Active,"Certified professional employees providing guidance and counseling services to students and families. This includes helping pupils and parents assess and understand their abilities, aptitudes, interests and educational needs.",Uniform FY27,,No,Yes,Other T & E,Guidance Counselors/ Social Workers(1214),No,Yes,Yes,Yes
