Code,Name,Status,PSABDescription,ChartType,ChartAccountType,ParentObjectCode,SummaryLine,IsBudgetable,ActualsPostable,RequiresJobClass,AcceptsFTE,UsesDependentCharterTransfer,NCESReportingRequired,AllowsNegative,NotInUse
11000,Cash Assets,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,No,No,No
11111,Unrestricted Cash,Active,Cash balances that have no restrictions associated with its use.,Uniform FY27,Revenue,11000,No,Yes,Yes,No,No,No,No,Yes,No
11112,Restricted Cash,Active,Cash balances that have specific restrictions associated with its use. Used in,Uniform FY27,Revenue,11000,No,Yes,Yes,No,No,No,No,Yes,No
11113,Reserved Cash - Special Revenue Bonds,Active,"Cash set aside and reserved, relating specifically to Special Revenue Bonds.",Uniform FY27,Revenue,11000,No,Yes,Yes,No,No,No,No,Yes,No
41000,Revenue From Local Sources,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,No,No,No
41100,Taxes Levied/Assessed by the School District,Active,"Compulsory charges levied by the school district to finance services performed for the common benefit. Separate accounts have been established for the 41100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,No,No,No
41110,Ad Valorem Taxes - School District,Active,"Taxes levied by a school district on the assessed value of real and personal property located within the school district that, within legal limits, is the final authority in determining the amount to be raised for school purposes. Separate accounts may be established for real property and for personal property. If separate accounts are established under this account, it becomes a “roll-up” account for the accumulation of totals; in which case no entries should be posted to this account.",Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,Yes,No,No
41113,Oil and Gas Taxes,Active,Ad valorem taxes upon oil and gas production within a school district. Include all taxes credited by County/State Treasurer.,Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,No,No,No
41114,Copper Production,Active,Ad valorem taxes upon copper production within a school district. Include all taxes credited by County/State Treasurer.,Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,No,No,No
41115,Other Special Revenue/Taxes,Active,Other special revenues or taxes not otherwise classified.,Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,No,No,No
41280,Revenue In Lieu Of Taxes,Active,Bond/TIF (Tax Increment Financing).,Uniform FY27,Revenue,41000,No,Yes,Yes,No,No,No,No,No,No
