Code,Name,ParentCategoryCode,ParentCategoryName,ParentCategoryDescription
10000,General Funds,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
11000,Operational,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
12000,Teacherage,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
13000,Pupil Transportation,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
14000,Instructional Materials Sub-Fund,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
15100,Impact Aid Operational,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
15200,Local Revenue Operational,10000,GENERAL FUNDS,"This fund is the chief operating fund of the school district or charter school. It is used to account for all financial resources of the school district or charter school except for those required to be accounted for in another fund. A District may have only one General Fund, but it may subdivide this fund into sub-funds that roll up to the General Fund. There is generally a limited number of this type of fund. The specific General Funds designated by PED for use by school districts and charter schools are as follows:"
20000,Special Revenue Funds,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
21000,Food Services,20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
21100,Universal Free Lunch (State funded),20000,SPECIAL REVENUE FUNDS,These funds are used to account for the proceeds of specific revenue sources (other than trusts or major capital projects) that are legally restricted to expenditure for specified purposes. Some examples of special revenue funds are restricted state or federal grants and restricted tax levies. A separate fund may be used for each identified restricted source. There are generally several Funds from different funding sources. The specific Special Revenue Funds designated by PED for use by school districts and charter schools are as follows.
