Code,Name,PSABDescription
11000,CASH ASSETS,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
11011,Bank Accounts,"All funds on deposit with a bank or savings and loan institution, normally in non- interest-bearing accounts. Interest-bearing accounts are recorded in 12000 (Investments)."
11031,Cash on Hand,"Currencies, coins, checks, postal and express money orders, and bankers’ drafts on hand. Includes petty cash."
11041,Cash with Fiscal Agents,"Deposits with fiscal agents, such as commercial banks, for paying matured bonds and interest."
11111,Unrestricted Cash,Cash balances that have no restrictions associated with its use.
11112,Restricted Cash,Cash balances that have specific restrictions associated with its use. Used in
11113,Reserved Cash – Special Revenue Bonds,"Cash set aside and reserved, relating specifically to Special Revenue Bonds."
12000,INVESTMENT ASSETS,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below"
12011,Investments,"Securities and real estate held for producing income in the form of interest, dividends, rentals, or lease payments. Investments should be presented at fair value as of the reporting date. Increases in the fair value of investments are recorded using revenue account 41510 (Investment Income). 12011 (Investments) does not include capital assets used in school district or charter school operations. Separate accounts for each category of investments may be established. If separate accounts are established under this account, it becomes a “roll-up” account for the accumulation of totals; in which case no entries should be posted to this account."
12012,Unamortized Premiums on Investments,The excess of the amount paid for securities over the face value that has not yet been amortized. Use of this account is restricted to short-term money market investments.
12013,Unamortized Discounts on Investments (Credit),The excess of the face value of securities over the amount paid for them that have not yet been written off. Use of this account is restricted to short- term investments.
12014,Interest Receivable on Investments,"The amount of interest receivable on investments, excluding interest purchased. Interest purchased should be posted to 12015 (Accrued Interest on Investments Purchased)."
12015,Accrued Interest on Investments Purchased,Interest accrued on investments between the last interest payment date and the date of purchase. The account is carried as an asset until the first interest payment date after the date of purchase.
13000,RECEIVABLES,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below"
13011,Taxes Receivable,"The uncollected portion of taxes that a school district or government unit has levied and that has become due, including any interest or penalties that may be accrued. Separate accounts may be established on the basis of tax roll year, current and delinquent taxes, or both. If separate accounts are established under this account, it becomes a “roll-up” account for the accumulation of totals; in which case no entries should be posted to this account."
13012,Allowance for Uncollectible Taxes,"The portion of taxes receivable estimated not to be collected. The account is shown on the balance sheet as a deduction from account 13011 (Taxes Receivable) to arrive at the net taxes receivable. Separate accounts may be established on the basis of tax roll year, delinquent taxes, or both. This is a contra-asset account – the net balance will be a credit. If separate accounts are established under this account, it should be used as a “roll-up” account for accumulation of totals. In that case, no entries should be posted to this account."
13031,Loans Receivable,"Amounts that have been loaned to persons or organizations, including notes taken as security for such loans, where permitted by statutory authority."
13032,Allowance for Uncollectible Loans,The portion of loans receivable estimated not to be collected. The account is shown on the balance sheet as a deduction from account 13031 (Loans Receivable) account. This is a contra-asset account – the net balance will be a credit.
13041,Other Accounts Receivable,"Amounts owing on open account from private persons, firms, or corporations for goods and services furnished by a school district or charter school (but not including amounts due from other funds or from other governmental units)."
13042,Allowance for Uncollectible Accounts Receivable,A provision for that portion of accounts receivable that is estimated will not be collected. The account is shown on the balance sheet as a deduction from account 13041 (Other Accounts Receivable) account. This is a contra-asset account – the net balance will be a credit.
13100,Inter-Governmental Accounts Receivable,"Amounts due to the reporting governmental unit from another governmental unit. These amounts may represent grants, shared taxes, taxes collected for the reporting unit by another unit, loans, and charges for services rendered by the reporting unit for another government. It is recommended that separate accounts be established for each interagency receivable. If separate accounts are established within the 13100 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
14000,DUE FROM OTHER FUNDS,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
14100,Inter-Fund Loans Receivable,"An asset account used to record a loan by one fund to another fund in the same governmental unit. It is recommended that separate accounts be established for each inter- fund receivable loan. If separate accounts are established within the 14100 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
14200,Inter-Fund Accounts Receivable,"An asset account used to indicate amounts owed to a particular fund by another fund in the same school district or charter school for goods sold or services rendered. It is recommended that separate accounts be established for each inter-fund receivable. If separate accounts are established within the 14200 series, this account should be used as a “roll-up” account for accumulation of totals. In this case, no entries should be posted to this account."
15000,PREPAID EXPENSES,"Expenditure/expense paid for benefits not yet received. Prepaid expenses differ from deferred charges in that they are spread over a shorter period of time than deferred charges and are regularly recurring costs of operation. Examples of prepaid expenses are prepaid rent, prepaid interest, and unexpired insurance premiums. Separate accounts may be established for each type of prepaid item. If separate accounts are established under this account, it becomes a “roll-up” account for the accumulation of totals; in which case no entries should be posted to this account."
16000,INVENTORY,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
16011,Inventories for Consumption,The cost of supplies and equipment on hand not yet distributed to requisitioning units.
16012,Inventories for Resale,The value of goods held by a school district or charter school for resale rather than for use in its own operations.
17000,FIXED ASSETS,"Those assets that the school district or charter school intends to hold or continue to use over a long period of time. Specifically, capital assets include land, improvements to land, easements, buildings and building improvements, vehicles, machinery, equipment, works of art and historical treasures, infrastructure, and all other tangible or intangible assets that are used in operations and that have initial useful lives that extend beyond a single reporting period. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below."
